,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
0,Now,Now,now,1,1,1,Intro: Trey Smith,1,1,1,1,1,[1],"[('now', 'RB')]",ADV,POSITIVE,0.9831, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9831,102,0.5795454545454546,17.976955,-12.466719
1,Dad,Dad,dad,2,1,1,Intro: Trey Smith,1,2,4,4,4,"[2, 298, 444, 649]","[('dad', 'NN')]",N,POSITIVE,0.9941, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9941,134,0.7613636363636364,-5.6732006,-9.590114
2,this,this,this,3,1,1,Intro: Trey Smith,1,3,3,3,3,"[3, 644, 657]","[('this', 'DT')]",DET,POSITIVE,0.9931, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9931,128,0.7272727272727273,5.5789046,-5.090506
3,is,is,is,4,1,1,Intro: Trey Smith,1,4,2,2,2,"[4, 645]","[('is', 'VBZ')]",V,POSITIVE,0.9275, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9275,69,0.39204545454545453,8.705806,6.5117702
4,a,a,a,5,1,1,Intro: Trey Smith,1,5,12,12,12,"[5, 82, 160, 229, 259, 261, 264, 296, 332, 437, 442, 646]","[('a', 'DT')]",DET,POSITIVE,0.9873, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9873,115,0.6534090909090909,16.309355,7.603457
5,very,very,very,6,1,1,Intro: Trey Smith,1,6,1,1,1,[6],"[('very', 'RB')]",ADV,POSITIVE,0.9929, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9929,127,0.7215909090909091,13.219102,-11.994985
6,sensitive,sensitive,sensitive,7,1,1,Intro: Trey Smith,1,7,1,1,1,[7],"[('sensitive', 'JJ')]",ADJ,POSITIVE,0.9997, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9997,174,0.9886363636363636,-7.7356277,-0.92692655
7,subject,subject,subject,8,1,1,Intro: Trey Smith,1,8,1,1,1,[8],"[('subject', 'NN')]",N,POSITIVE,0.9933, now dad this is a very sensitive subject,POSITIVE,0.9996,0.9996,49,0.9423076923076923,0.9933,130,0.7386363636363636,-11.950934,4.533046
8,Just,Just,just,9,2,2,Chorus,1,1,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.8226,59,0.3352272727272727,13.496861,-14.565226
9,the,the,the,10,2,2,Chorus,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9636,84,0.4772727272727273,9.3735075,11.713898
10,two,two,two,11,2,2,Chorus,1,3,20,0,0,"[11, 16, 21, 26, 31, 178, 190, 195, 200, 210, 398, 410, 415, 420, 430, 606, 618, 623, 628, 638]","[('two', 'CD')]",DET,POSITIVE,0.9899, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9899,119,0.6761363636363636,37.91876,-4.6893024
11,of,of,of,12,2,2,Chorus,1,4,21,1,1,"[12, 17, 22, 27, 32, 179, 191, 196, 201, 211, 312, 399, 411, 416, 421, 431, 607, 619, 624, 629, 639]","[('of', 'IN')]",PREP,POSITIVE,0.9193, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9193,67,0.3806818181818182,12.568455,24.883896
12,us,us,us,13,2,2,Chorus,1,5,20,0,0,"[13, 18, 23, 28, 33, 180, 192, 197, 202, 212, 400, 412, 417, 422, 432, 608, 620, 625, 630, 640]","[('us', 'PRP')]",PRON,POSITIVE,0.9990000000000001, just the two of us,POSITIVE,0.9991,0.9991,45,0.8653846153846154,0.9990000000000001,167,0.9488636363636364,-22.11499,-14.735302
13,Just,Just,just,14,3,2,Chorus,2,6,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226, just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.8226,59,0.3352272727272727,14.274941,-15.528316
14,the,the,the,15,3,2,Chorus,2,7,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636, just the two of us just the two of us,POSITIVE,0.9479,0.9479,28,0.5384615384615384,0.9636,84,0.4772727272727273,8.317977,12.450043
